DominantCycle,DominantCycleAmplitude
0.955476,17.9374
0.955476,18.2878
0.955476,17.9718
0.955476,17.7231
0.955476,17.3643
0.955476,16.5817
0.955476,16.4123
0.955476,17.2588
0.955476,17.3668
0.955476,17.1767
0.955476,17.4341
0.955476,17.4521
0.955476,17.4699
0.955476,17.7932
0.955476,18.1279
0.955476,18.3759
0.955476,18.2449
0.955476,18.3083
0.955476,18.7124
0.955476,18.6224
0.955476,18.4599
0.955476,18.7317
0.955476,18.8048
0.955476,18.5463
0.955476,18.5561
0.955476,18.9136
0.955476,19.2883
0.955476,19.1524
0.955476,18.4125
0.955476,18.1246
0.955476,17.934
0.955476,17.7116
0.88914,18.4855
0.88914,18.6703
0.88914,18.0791
0.88914,17.8409
0.88914,17.7285
0.88914,17.227
0.88914,16.6097
0.88914,16.5371
0.88914,16.2384
0.88914,16.1604
0.88914,16.6548
0.88914,16.4863
0.88914,16.2239
0.88914,16.5553
0.88914,16.6644
0.88914,16.8437
0.88914,17.2664
0.88914,16.8886
0.88914,16.4897
0.88914,16.6926
0.88914,16.665
0.88914,16.657
0.88914,17.2224
0.88914,17.5367
0.88914,16.681
0.88914,15.5945
0.88914,14.8553
0.955476,14.9191
0.955476,15.4294
0.955476,15.3515
0.955476,15.2412
0.955476,15.5005
0.955476,16.0135
0.955476,16.241
0.955476,16.3884
0.955476,16.6711
0.955476,17.0736
0.955476,17.1421
0.955476,16.7151
0.955476,16.4274
0.955476,16.7297
0.955476,16.9725
0.955476,16.5127
0.955476,16.7182
0.955476,17.7696
0.955476,18.1778
0.955476,18.0017
0.955476,18.1108
0.955476,18.3235
0.955476,18.2829
0.955476,18.4034
0.955476,18.7872
0.955476,19.1664
0.955476,19.5968
0.955476,20.0826
0.955476,19.4056
0.955476,18.0143
0.955476,17.9384
0.955476,18.6858
0.955476,18.5969
0.955476,18.2236
0.955476,18.3585
0.955476,18.6894
0.955476,18.5105
0.955476,18.7203
0.955476,19.1433
0.955476,18.9223
0.955476,18.2133
0.955476,17.4301
0.955476,17.3091
0.955476,17.6678
0.955476,17.7229
0.955476,18.0056
0.955476,18.2574
0.955476,18.2111
0.955476,18.413
0.955476,18.5418
0.955476,18.3023
0.955476,18.0713
0.955476,17.7927
0.955476,17.77
0.955476,18.0013
0.955476,17.3562
0.955476,16.755
0.955476,17.4228
0.955476,18.0846
0.955476,18.0944
0.955476,18.1074
0.955476,17.8897
0.955476,17.4658
0.955476,17.5196
0.955476,17.9832
0.955476,18.3118
0.955476,18.6882
0.955476,19.0107
0.955476,19.0897
0.955476,18.6568
0.955476,18.1939
0.955476,17.9547
0.88914,18.1745
0.88914,18.2443
0.88914,17.7858
0.88914,17.2517
0.955476,17.446
0.88914,17.9586
0.88914,17.8435
0.88914,17.3773
0.88914,17.8132
0.88914,18.4751
0.88914,18.599
0.88914,18.2329
0.88914,17.3912
0.955476,15.8789
1.02676,13.7913
0.955476,14.1378
0.88914,17.8268
0.88914,17.7855
0.88914,17.1864
0.88914,16.5384
0.88914,15.7696
0.88914,16.1843
0.88914,16.823
0.88914,17.2436
0.88914,17.9598
0.88914,18.2333
0.88914,17.5822
0.88914,17.2158
0.88914,17.6178
0.88914,17.4952
0.88914,17.2291
0.88914,17.1802
0.88914,17.4026
0.88914,17.305
0.88914,16.7531
0.88914,16.6459
0.955476,16.6274
0.955476,16.3809
0.88914,16.7283
0.88914,17.0476
0.88914,16.8331
0.88914,16.9002
0.955476,16.9767
0.955476,16.3135
0.955476,15.8
0.955476,16.3248
0.955476,17.0821
0.88914,17.6878
0.88914,17.5785
0.955476,17.1562
0.955476,17.0367
0.955476,17.3702
0.955476,17.8684
